"dataset_name","Disjoint-CNN","Inception-Time"
"ArticularyWordRecognition",0.984333333,0.991
"AtrialFibrilation",0.374712644,0.22
"BasicMotions",1,1
"Cricket",0.999074074,0.994444
"DuckDuckGeese",0.644,0.634667
"EigenWorms",0.593384224,0.196946565
"Epilepsy",0.988647343,0.986473
"EthanolConcentration",0.309252218,0.279214
"ERing",0.96382716,0.920988
"FaceDetection",0.566628831,0.772361
"FingerMovements",0.603666667,0.561333
"HandMovementDirection",0.324324324,0.423874
"Handwriting",0.320823529,0.657373
"Heartbeat",0.759349593,0.732033
"Libras",0.916111111,0.887222
"LSST",0.546904569,0.339686
"MotorImagery",0.569333333,0.511667
"NATOPS",0.966666667,0.966296
"PenDigits",0.994644559,0.996827
"PEMS-SF",0.81734104,0.828324
"Phoneme",0.282085694,0.367422
"RacketSports",0.846052632,0.916886
"SelfRegulationSCP1",0.903299204,0.846871
"SelfRegulationSCP2",0.537592593,0.52037
"StandWalkJump",0.435555556,0.42
"UWaveGestureLibrary",0.924166667,0.912292
