dataset_name,Disjoint_FCN,FCN
ArticularyWordRecognition,0.986666667,0.993333333333333
AtrialFibrillation,0.6,0.4
BasicMotions,0.05,0.575
Cricket,0.986111111,0.972222222222222
DuckDuckGeese,0.56,0.54
EigenWorms,0.167938931,0.16793893129771
Epilepsy,1,0.992753623188406
EthanolConcentration,0.25095057,0.250950570342205
ERing,0.222222222,0.422222222222222
FaceDetection,0.546254257,0.533200908059024
FingerMovements,0.6,0.58
HandMovementDirection,0.310810811,0.297297297297297
Handwriting,,0.041176470588235
Heartbeat,0.76097561,0.526829268292683
Libras,0.966666667,0.938888888888889
LSST,0.579075426,0.499594484995945
MotorImagery,0.47,0.47
NATOPS,0.961111111,0.972222222222222
PenDigits,0.98570611,0.992281303602058
PEMS-SF,0.745665,0.809248554913295
PhonemeSpectra,0.280345959,0.280345958842827
RacketSports,0.86842105,0.888157894736842
SelfRegulationSCP1,0.784982935,0.819112627986348
SelfRegulationSCP2,0.572222222,0.466666666666667
StandWalkJump,0.2,0.333333333333333
UWaveGestureLibrary,0.909375,0.825
