"dataset_name","Disjoint_ResNet","ResNet"
"ArticularyWordRecognition",0.983333,0.98666667
"AtrialFibrillation",0.4,0.333333
"BasicMotions",0.975,0.6
"Cricket",0.986111,0.986111
"DuckDuckGeese",0.5,0.58
"EigenWorms",0.175572519,0.16793893
"Epilepsy",1,0.99275362
"EthanolConcentration",0.262357,0.22053232
"ERing",0.392593,0.65925926
"FaceDetection",0.551078,0.54880817
"FingerMovements",0.55,0.55
"HandMovementDirection",0.337838,0.37837838
"Handwriting",0.088235,0.04941176
"Heartbeat",0.760976,0.5804878
"Libras",0.961111,0.95555556
"LSST",0.639092,0.51297648
"MotorImagery",0.47,0.57
"NATOPS",0.95,0.97222222
"PenDigits",0.986564,0.990852
"PEMS-SF",0.878612,0.78034682
"PhonemeSpectra",0.301223,0.30450343
"RacketSports",0.907895,0.92105263
"SelfRegulationSCP1",0.774744,0.7883959
"SelfRegulationSCP2",0.438889,0.47777778
"StandWalkJump",0.333333,0.333333
"UWaveGestureLibrary",0.915625,0.8375
