,0,1,1D CNN,1,1 layer,1,2 layer,1,3 Layer,,4 Layer,,5 Layer
1,ArticularyWordRecognition,0.98,0.98,0.89,0.916666666666667,0.986666666666667,0.98,0.983333333333333,0.983333333333333,0.99,0.98,0.983333333333333,0.98
2,AtrialFibrillation,0.333333333333333,0.333333333333333,0.4,0.333333333333333,0.533333333333333,0.533333333333333,0.4,0.4,0.333333333333333,0.333333333333333,0.466666666666667,0.4
3,BasicMotions,0.5,0.5,0.95,0.825,0.525,0.225,0.825,0.675,0.4,0.4,0.525,0
4,Cricket,0.986111111111111,0.986111111111111,0.986111111111111,0.972222222222222,0.986111111111111,0.986111111111111,0.986111111111111,0.986111111111111,1,0.986111111111111,0.986111111111111,0.972222222222222
5,DuckDuckGeese,0.52,0.52,0.6,0.54,0.7,0.56,0.8,0.66,0.6,0.52,0.64,0.48
6,Epilepsy,0.985507246376812,0.985507246376812,1,0.985507246376812,1,1,1,1,1,1,1,1
7,EthanolConcentration,0.262357414448669,0.26615969581749,0.296577946768061,0.250950570342205,0.281368821292776,0.258555133079848,0.29277566539924,0.258555133079848,0.477777777777778,0.285185185185185,0.330798479087453,0.258555133079848
8,EigenWorms,0.450381679389313,0.053435114503817,,,,,0.541984732824427,0.534351145038168,,,,
9,Ering,0.640740740740741,0.651851851851852,0.807407407407407,0.662962962962963,0.722222222222222,0.225925925925926,0.47037037037037,0.485185185185185,0.315589353612167,0.296577946768061,0.514814814814815,0.296296296296296
10,FaceDetection,0.529511918274688,0.528660612939841,0.559023836549376,0.542565266742338,0.553348467650397,0.534335981838819,0.569807037457435,0.523552780930761,0.530647,0.54143,0.574063564131669,0.539727582292849
11,FingerMovements,0.58,0.57,0.58,0.59,0.59,0.57,0.59,0.53,0.58,0.47,0.5,0.48
12,HandMovementDirection,0.351351351351351,0.364864864864865,0.337837837837838,0.324324324324324,0.418918918918919,0.256756756756757,0.418918918918919,0.256756756756757,0.378378378378378,0.364864864864865,0.310810810810811,0.283783783783784
13,Handwriting,0.03764705882353,0.047058823529412,0.012941176470588,0.052941176470588,0.023529411764706,0.068235294117647,0.030588235294118,0.06,0.035294117647059,0.095294117647059,0.044705882352941,0.098823529411765
14,Heartbeat,0.697560975609756,0.648780487804878,0.770731707317073,0.751219512195122,0.770731707317073,0.785365853658537,0.770731707317073,0.751219512195122,0.746341463414634,0.760975609756098,0.751219512195122,0.751219512195122
15,Libras,0.85,0.833333333333333,0.983333333333333,0.966666666666667,0.966666666666667,0.944444444444444,0.977777777777778,0.955555555555556,0.977777777777778,0.972222222222222,0.966666666666667,0.961111111111111
16,LSST,0.434306569343066,0.430656934306569,0.552311435523114,0.577858880778589,0.576642335766423,0.566504460665045,0.5551500405515,0.5551500405515,0.582319545823195,0.60705596107056,0.550689375506894,0.491889699918897
17,MotorImagery,0.5,0.5,0.52,0.55,0.56,0.53,0.66,0.54,0.55,0.5,0.56,0.51
18,NATOPS,0.961111111111111,0.977777777777778,0.972222222222222,0.95,0.972222222222222,0.977777777777778,0.966666666666667,0.972222222222222,0.988888888888889,0.983333333333333,0.983333333333333,0.972222222222222
19,PenDigits,0.982275586049171,0.982847341337907,0.983419096626644,0.982561463693539,0.987707261292167,0.984276729559748,0.987707261292167,0.982847341337907,0.722543352601156,0.710982658959538,0.986277873070326,0.978273299028016
20,PEMS-SF,0.734104046242775,0.745664739884393,0.710982658959538,0.687861271676301,0.757225433526012,0.69364161849711,0.757225433526012,0.705202312138728,0.989422527158376,0.98084619782733,0.815028901734104,0.705202312138728
21,PhonemeSpectra,0.248732478377572,0.243662391887862,0.246346555323591,0.256486728303012,0.264837458991947,0.267819862809424,0.275574112734864,0.272889949299135,0.274977631971369,0.28124067998807,0.286907247241276,0.282433641515061
22,RacketSports,0.868421052631579,0.855263157894737,0.809210526315789,0.835526315789474,0.861842105263158,0.868421052631579,0.868421052631579,0.888157894736842,0.861842105263158,0.861842105263158,0.914473684210526,0.894736842105263
23,SelfRegulationSCP1,0.870307167235495,0.870307167235495,0.924914675767918,0.914675767918089,0.897610921501707,0.744027303754266,0.907849829351536,0.617747440273037,0.887372013651877,0.696245733788396,0.918088737201365,0.764505119453925
24,SelfRegulationSCP2,0.577777777777778,0.566666666666667,0.566666666666667,0.544444444444444,0.566666666666667,0.516666666666667,0.583333333333333,0.544444444444444,0.588888888888889,0.572222222222222,0.55,0.505555555555556
25,StandWalkJump,0.333333333333333,0.466666666666667,0.266666666666667,0.4,0.333333333333333,0.2,0.266666666666667,0.2,0.266666666666667,0.266666666666667,0.266666666666667,0.133333333333333
26,UWaveGestureLibrary,0.86875,0.859375,0.840625,0.871875,0.909375,0.9,0.91875,0.921875,0.91875,0.890625,0.896875,0.91875
